Defeat( safarova , julia goerges )
Defeat( ivanovic , lisicki )
Defeat( cibulkova , lucie safarova )
Defeat( navratilova , chris evert )
Defeat( nick kyrgios , a )
Defeat( daniellemcxs , stan wawrinka daniellemcxs )
Defeat( dolgopolov , alexandr dolgopolov )
Defeat( bautista-agut , andy murray )
Defeat( yanina wickmeyer http://t.co/z6fiitcfav , stosur )
Defeat( vesnina , zahlavov-strycova )
Defeat( tsurenko , simona halep )
Defeat( venus , petra )
Defeat( halep , lisicki )
Defeat( silverstone , lewis )
Defeat( dimitrov , novak djokovic )
Defeat( boris becker , becker )
Defeat( as , federer )
Defeat( klara koukalova , koukalova )
Defeat( aleksandra , aleksandra wozniak )
Defeat( tsonga , melzer )
Defeat( konjuh , wozniacki )
Defeat( anaivanovic , maddie )
Defeat( shuai peng http://t.co/iuaijeq2xt , http://t.co/iuaijeq2xt )
Defeat( novak , grigor dimitrov )
Defeat( gilles mller , mller )
Defeat( rafael nadal , nick )
Defeat( novak djokovic , roger )
Defeat( eltingh , mark petchey )
Defeat( tomic , caroline wozniacki )
Defeat( pospisil , jack sock )
Defeat( petra kvitova , serena )
Defeat( federer , rappler djokovic )
Defeat( koukalova , klara koukalova )
Defeat( andujar , pablo andujar )
Defeat( shuai , shuai peng )
Defeat( novak djokovic , dimitrov )
Defeat( tatishvili , ana tatishvili )
Defeat( victoria , victoria duval )
Defeat( djokovic , roger )
Defeat( jarkko , jarkko nieminen )
